WON_MORE_THAN_HALF,Eastern Conference,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,0,72.0,240.3,40.6,87.19999999999997,13.3,36.65000000000001,27.25,50.5,16.85,21.85,9.45,34.2,43.6,22.8,6.8,4.0,12.35,19.75,111.3
1,0,72.0,242.8,41.65,87.30000000000003,12.95,34.95,28.75,52.35,16.4,20.8,9.8,33.0,42.8,26.35,7.8,4.5,13.8,19.15,112.6
0,1,72.0,242.1,40.05,86.25,11.45,32.15,28.55,54.15000000000001,17.4,22.85,9.8,33.75,43.5,24.5,7.7,5.5,14.4,20.45,108.85
0,0,72.0,240.3,40.75,88.6,13.5,36.6,27.3,51.95,18.200000000000006,23.3,9.35,35.85,45.15,25.75,8.05,4.55,15.0,20.35,113.2
0,0,72.0,240.3,41.0,88.75,13.6,37.90000000000001,27.4,50.9,17.2,22.55,9.6,35.5,45.1,24.700000000000006,8.05,5.15,14.7,19.4,112.75
0,0,72.0,242.4,43.0,91.25,11.9,32.75,31.05,58.6,17.4,22.1,10.15,34.6,44.75,26.75,7.95,5.85,14.15,19.15,115.3
1,0,72.0,240.0,40.95,86.55000000000003,12.95,33.6,28.0,52.95,16.15,20.0,9.3,33.35,42.7,23.65,7.1,4.15,13.0,18.65,110.9
1,0,72.0,242.4,40.2,86.25,11.25,31.700000000000006,29.0,54.5,16.55,21.9,9.25,33.90000000000001,43.1,24.7,8.0,4.95,15.2,20.200000000000006,108.15
0,0,72.0,241.7,41.9,90.25,12.05,33.25,29.95,57.0,16.9,21.700000000000006,10.5,35.099999999999994,45.6,26.15,8.4,5.15,14.05,18.5,112.8
1,1,72.0,241.4,39.15000000000001,84.45,13.6,37.65000000000001,25.55,46.85,16.15,20.5,8.75,33.45,42.2,26.05,7.7,4.0,14.6,19.25,108.05
1,1,72.0,240.7,43.55,92.35,14.6,37.85,28.950000000000006,54.5,15.4,20.1,9.95,35.8,45.75,25.3,7.55,4.699999999999998,13.5,17.8,117.15
0,0,72.0,241.7,41.85,90.1,13.1,35.55,28.75,54.55,18.05,23.3,10.25,34.4,44.65,26.200000000000006,8.2,5.5,14.8,20.4,114.9
0,0,72.0,242.1,42.2,89.19999999999997,12.55,34.25,29.65,54.90000000000001,17.8,23.6,10.3,34.3,44.6,25.95,7.65,5.15,13.95,19.65,114.75
1,0,72.0,242.1,38.65,86.35,11.9,32.8,26.8,53.5,16.65,21.55,9.7,34.95,44.6,22.5,6.8,5.25,12.85,19.2,105.85
0,0,72.0,241.0,41.1,89.85,12.75,36.2,28.35,53.65,15.4,20.55,10.0,36.35,46.35,23.950000000000006,8.0,4.85,14.6,18.35,110.3
0,0,72.0,240.7,40.25,89.45,12.3,34.3,27.95,55.15,15.9,20.35,10.1,36.35,46.4,23.9,7.25,4.85,12.75,17.95,108.65
1,1,72.0,242.1,40.4,86.9,11.6,31.55,28.8,55.35,18.5,24.15,9.9,34.1,44.0,23.6,8.15,5.45,15.0,20.6,110.85
1,0,72.0,242.8,41.9,87.55,12.35,33.7,29.6,53.85,16.2,20.2,9.1,33.75,42.8,24.9,7.050000000000002,3.95,13.05,18.55,112.4
1,0,72.0,240.3,41.55,89.69999999999997,14.3,37.7,27.25,51.95,17.85,22.200000000000006,10.25,34.7,44.95,23.1,6.5,4.8,11.75,19.0,115.2
0,0,72.0,240.3,43.1,89.0,12.25,32.95,30.85,56.05,17.1,22.35,10.05,33.3,43.3,25.4,7.55,4.85,13.55,19.05,115.55
0,0,72.0,242.8,42.15,90.15,11.1,30.5,31.0,59.65000000000001,16.549999999999994,21.35,9.75,35.90000000000001,45.65,24.6,6.65,5.1,12.3,18.3,111.95
0,0,72.0,240.3,39.35,86.7,14.2,38.0,25.200000000000006,48.65,18.6,23.05,9.7,34.0,43.75,25.05,7.6,5.5,14.65,20.35,111.5
1,0,72.0,241.0,41.1,89.75,13.8,37.4,27.25,52.35,15.85,20.2,10.2,35.2,45.45,23.0,7.15,4.55,12.85,18.75,111.8
0,0,72.0,241.7,43.15000000000001,91.25,11.3,31.35,31.85,59.9,19.950000000000006,25.8,10.0,35.65,45.65000000000001,25.0,7.75,4.449999999999998,14.55,21.8,117.55
