WON_MORE_THAN_HALF,Eastern Conference,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,0,73.0,241.0,41.2,87.75,0.47,11.5,31.9,0.3605,29.700000000000003,55.849999999999994,0.532,19.6,24.15,0.8109999999999999,9.45,34.0,43.4,25.4,7.800000000000001,4.75,15.2,22.3,113.5
0,0,74.0,241.0,42.0,91.4,0.4595,13.25,34.75,0.38,28.75,56.650000000000006,0.5075000000000001,18.4,23.4,0.7875,10.85,35.25,46.099999999999994,22.75,6.55,5.5,12.850000000000001,20.9,115.55
0,0,72.0,242.4,40.599999999999994,86.95,0.4665,12.55,34.849999999999994,0.36050000000000004,28.0,52.1,0.538,17.45,22.3,0.78,9.399999999999999,33.7,43.05,24.35,7.7,4.15,14.85,20.85,111.1
0,0,71.0,242.5,42.25,89.80000000000001,0.47050000000000003,11.899999999999999,31.8,0.3745,30.35,58.05,0.523,18.2,22.95,0.7935000000000001,9.2,35.75,44.95,25.2,7.05,4.9,12.899999999999999,19.75,114.65
1,1,72.0,241.4,39.0,88.1,0.44299999999999995,13.45,37.95,0.35550000000000004,25.549999999999997,50.2,0.509,18.15,23.2,0.7825,10.2,35.5,45.75,25.4,8.0,5.25,15.8,21.049999999999997,109.65
1,0,72.0,241.0,40.400000000000006,87.1,0.464,12.2,33.1,0.3665,28.2,54.0,0.5235000000000001,17.15,22.15,0.773,9.35,34.45,43.8,21.95,7.0,4.35,13.7,20.6,110.05
0,1,72.0,241.0,42.3,89.65,0.47250000000000003,12.2,32.85,0.372,30.1,56.75,0.5305,19.9,25.450000000000003,0.7829999999999999,10.35,33.8,44.1,25.1,7.75,4.65,15.2,22.45,116.75
1,0,72.0,241.7,41.05,88.15,0.46549999999999997,12.15,33.8,0.361,28.85,54.45,0.53,18.299999999999997,22.65,0.8075,10.3,33.900000000000006,44.150000000000006,24.25,7.35,4.9,12.75,19.55,112.55000000000001
0,1,72.0,241.4,40.7,87.45,0.46499999999999997,13.2,35.349999999999994,0.374,27.5,52.05,0.527,17.3,22.15,0.78,10.0,33.35,43.4,23.8,7.550000000000001,4.949999999999999,14.1,19.85,111.9
1,1,72.0,241.7,42.5,89.3,0.4765,13.7,36.150000000000006,0.3785,28.85,53.150000000000006,0.5429999999999999,17.6,22.25,0.7895000000000001,9.7,34.05,43.75,25.4,7.15,4.949999999999999,13.05,18.95,116.35
0,1,72.0,241.0,40.599999999999994,87.94999999999999,0.4615,14.1,38.25,0.3675,26.55,49.7,0.5345,15.15,20.1,0.7529999999999999,10.6,33.85,44.5,26.950000000000003,7.949999999999999,4.8,14.8,18.3,110.45
0,1,72.0,241.4,41.8,88.15,0.47450000000000003,12.05,33.15,0.363,29.75,54.95,0.5415000000000001,15.5,19.85,0.7825,9.149999999999999,34.4,43.55,25.450000000000003,7.6,4.65,13.899999999999999,18.299999999999997,111.15
0,1,72.0,242.1,40.3,86.25,0.46699999999999997,11.2,31.049999999999997,0.3595,29.1,55.15,0.5275000000000001,16.3,21.4,0.761,10.15,33.05,43.25,24.6,8.15,5.2,14.9,19.2,108.05
