WON_MORE_THAN_HALF,Eastern Conference,G,MP,FG%,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,0,72.0,240.0,0.473,0.3835000000000001,0.529,0.8079999999999999,9.3,33.35,42.7,23.65,7.1,4.15,13.0,18.65,110.9
1,0,72.0,242.4,0.466,0.353,0.5315000000000001,0.7575000000000001,9.25,33.90000000000001,43.1,24.7,8.0,4.95,15.2,20.200000000000006,108.15
0,0,72.0,241.7,0.4645,0.3615,0.525,0.7794999999999999,10.5,35.099999999999994,45.6,26.15,8.4,5.15,14.05,18.5,112.8
1,1,72.0,241.4,0.4635,0.3615,0.5454999999999999,0.7859999999999999,8.75,33.45,42.2,26.05,7.7,4.0,14.6,19.25,108.05
1,1,72.0,240.7,0.4715,0.3865,0.5305,0.77,9.95,35.8,45.75,25.3,7.55,4.699999999999998,13.5,17.8,117.15
0,0,72.0,241.7,0.465,0.3705,0.527,0.7734999999999999,10.25,34.4,44.65,26.200000000000006,8.2,5.5,14.8,20.4,114.9
0,0,72.0,242.1,0.473,0.364,0.5395000000000001,0.7595000000000001,10.3,34.3,44.6,25.95,7.65,5.15,13.95,19.65,114.75
1,0,72.0,242.1,0.44799999999999995,0.3645000000000001,0.501,0.7725,9.7,34.95,44.6,22.5,6.8,5.25,12.85,19.2,105.85
0,0,72.0,241.0,0.457,0.3515,0.5285,0.7490000000000001,10.0,36.35,46.35,23.950000000000006,8.0,4.85,14.6,18.35,110.3
0,0,72.0,240.7,0.45,0.358,0.5075000000000001,0.7805,10.1,36.35,46.4,23.9,7.25,4.85,12.75,17.95,108.65
1,1,72.0,242.1,0.4645,0.36700000000000005,0.5205,0.7655000000000001,9.9,34.1,44.0,23.6,8.15,5.45,15.0,20.6,110.85
1,0,72.0,242.8,0.4785,0.366,0.5489999999999999,0.8059999999999999,9.1,33.75,42.8,24.9,7.050000000000002,3.95,13.05,18.55,112.4
1,0,72.0,240.3,0.463,0.3785000000000001,0.5235,0.8049999999999999,10.25,34.7,44.95,23.1,6.5,4.8,11.75,19.0,115.2
0,0,72.0,240.3,0.4845,0.37200000000000005,0.55,0.7659999999999999,10.05,33.3,43.3,25.4,7.55,4.85,13.55,19.05,115.55
0,0,72.0,242.8,0.467,0.3635,0.5205,0.775,9.75,35.90000000000001,45.65,24.6,6.65,5.1,12.3,18.3,111.95
0,0,72.0,240.3,0.4545,0.3735,0.5175000000000001,0.8069999999999999,9.7,34.0,43.75,25.05,7.6,5.5,14.65,20.35,111.5
1,0,72.0,241.0,0.4575,0.365,0.524,0.7835000000000001,10.2,35.2,45.45,23.0,7.15,4.55,12.85,18.75,111.8
0,0,72.0,241.7,0.473,0.36,0.5309999999999999,0.7749999999999999,10.0,35.65,45.65000000000001,25.0,7.75,4.449999999999998,14.55,21.8,117.55
