G_OFF,MP_OFF,FG_OFF,FGA_OFF,3P_OFF,3PA_OFF,2P_OFF,2PA_OFF,FT_OFF,FTA_OFF,ORB_OFF,DRB_OFF,TRB_OFF,AST_OFF,STL_OFF,BLK_OFF,TOV_OFF,PF_OFF,PTS_OFF,G_DEF,MP_DEF,FG_DEF,FGA_DEF,3P_DEF,3PA_DEF,2P_DEF,2PA_DEF,FT_DEF,FTA_DEF,ORB_DEF,DRB_DEF,TRB_DEF,AST_DEF,STL_DEF,BLK_DEF,TOV_DEF,PF_DEF,PTS_DEF,WON_MORE_THAN_HALF,Eastern Conference
72,241.7,40.8,87.2,12.4,33.4,28.4,53.9,19.7,24.2,10.6,35.1,45.6,24.1,7.0,4.8,13.2,19.3,113.7,72,241.7,41.3,89.1,11.9,34.2,29.3,55.0,16.9,21.1,10.0,32.7,42.7,24.4,7.7,5.0,12.3,19.8,111.4,1,0
72,241.4,41.5,88.9,13.6,36.4,27.9,52.5,16.1,20.8,10.6,33.6,44.3,23.5,7.7,5.3,14.1,20.4,112.6,72,241.4,39.9,86.0,12.8,34.3,27.1,51.6,18.5,23.5,9.4,33.1,42.5,24.1,7.4,4.6,14.1,19.3,111.2,0,1
72,241.7,43.1,87.3,14.2,36.1,29.0,51.2,18.1,22.5,8.9,35.5,44.4,26.8,6.7,5.3,13.5,19.0,118.6,72,241.7,41.9,91.3,13.2,36.2,28.7,55.1,17.1,22.0,10.5,32.6,43.1,24.0,7.6,4.6,12.6,18.9,114.1,1,1
72,241.0,39.9,87.8,13.7,37.0,26.3,50.8,15.9,20.9,10.6,33.2,43.8,26.8,7.8,4.8,14.8,18.0,109.5,72,241.0,41.3,88.1,14.5,39.5,26.8,48.6,14.4,19.3,10.6,34.5,45.2,27.1,8.1,4.8,14.8,18.6,111.4,0,1
72,241.4,42.2,88.6,12.6,34.0,29.6,54.6,13.8,17.5,9.6,35.3,45.0,26.8,6.7,4.2,15.1,18.9,110.7,72,241.4,41.4,87.7,11.5,32.3,29.9,55.3,17.2,22.2,8.7,33.5,42.1,24.1,8.5,5.1,12.7,17.7,111.6,0,1
72,242.1,38.6,85.8,10.0,29.7,28.6,56.0,16.7,22.4,10.4,32.3,42.8,23.8,7.8,4.5,15.5,18.2,103.8,72,242.1,42.0,86.7,12.4,32.4,29.6,54.3,15.9,20.4,9.9,33.8,43.7,25.4,8.5,5.9,14.3,20.2,112.3,0,1
72,240.3,41.1,87.3,13.8,38.1,27.3,49.2,16.5,21.2,9.1,34.2,43.3,22.9,6.3,4.3,12.1,19.4,112.4,72,240.3,40.1,87.1,12.8,35.2,27.2,51.8,17.2,22.5,9.8,34.2,43.9,22.7,7.3,3.7,12.6,20.1,110.2,1,0
72,242.8,43.3,89.2,12.9,34.2,30.4,55.0,15.7,19.5,10.5,33.9,44.4,26.8,8.1,4.5,13.5,19.1,115.1,72,242.8,40.0,85.4,13.0,35.7,27.1,49.7,17.1,22.1,9.1,32.1,41.2,25.9,7.5,4.5,14.1,19.2,110.1,1,0
72,242.1,38.7,85.6,11.6,32.9,27.1,52.7,17.8,23.4,9.6,33.1,42.7,24.2,7.4,5.2,14.9,20.5,106.6,72,242.1,41.4,86.9,11.3,31.4,30.0,55.6,17.0,22.3,10.0,34.4,44.3,24.8,8.0,5.8,13.9,20.4,111.1,0,1
72,240.3,41.3,88.2,14.6,38.7,26.7,49.4,16.6,21.1,8.0,35.1,43.0,27.7,8.2,4.8,15.0,21.2,113.7,72,240.3,40.2,89.0,12.4,34.5,27.9,54.5,19.8,25.5,10.7,36.6,47.3,23.8,7.9,4.3,15.0,19.5,112.7,0,0
72,240.3,39.3,88.5,13.8,40.6,25.5,47.9,16.5,22.3,9.3,33.3,42.6,23.6,7.6,5.0,14.7,19.5,108.8,72,240.3,42.7,89.0,13.4,35.2,29.3,53.9,17.9,22.8,9.9,37.7,47.6,25.8,8.5,5.3,14.7,19.3,116.7,0,0
72,242.4,43.3,91.2,12.3,34.0,30.9,57.3,16.4,20.7,9.0,33.7,42.7,27.4,8.5,6.4,13.5,20.2,115.3,72,242.4,42.7,91.3,11.5,31.5,31.2,59.9,18.4,23.5,11.3,35.5,46.8,26.1,7.4,5.3,14.8,18.1,115.3,0,0
72,240.0,41.8,86.7,14.3,34.7,27.5,52.0,16.2,19.3,9.4,34.7,44.2,24.4,7.1,4.1,13.2,19.2,114.0,72,240.0,40.1,86.4,11.6,32.5,28.5,53.9,16.1,20.7,9.2,32.0,41.2,22.9,7.1,4.2,12.8,18.1,107.8,1,0
72,242.4,40.6,86.1,11.1,31.2,29.6,54.8,17.2,23.3,9.7,34.6,44.2,24.7,7.8,5.4,15.2,19.1,109.5,72,242.4,39.8,86.4,11.4,32.2,28.4,54.2,15.9,20.5,8.8,33.2,42.0,24.7,8.2,4.5,15.2,21.3,106.8,1,0
